inchikey,name,evidence,moa,descriptions,links
AXRYRYVKAWYZBR-UHFFFAOYSA-N,Atazanavir,0,3,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
MYXACKZCYFKMTE-JETRDCLMSA-N,Tipranavir,0,3,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
MLBVMOWEQCZNCC-UHFFFAOYSA-N,Fosamprenavir,0,3,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
MCGSCOLBFJQGHM-UHFFFAOYSA-N,Abacavir,0,4,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
JUZYLCPPVHEVSV-UHFFFAOYSA-N,Elvitegravir,0,0,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
KJFBVJALEQWJBS-XUXIUFHCSA-N,Maribavir,0,0,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
CZFFBEXEKNGXKS-UHFFFAOYSA-N,Raltegravir,0,0,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
UCHDWCPVSPXUMX-UHFFFAOYSA-N,Montelukast,0,5,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
MFMQRDLLSRLUJY-YMQHIKHWSA-N,Deoxyrhapontin,0,0,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
HSTZMXCBWJGKHG-UHFFFAOYSA-N,Polydatin,0,0,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
DQFBYFPFKXHELB-UHFFFAOYSA-N,Chalcone,0,0,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
AOCCBINRVIKJHY-UHFFFAOYSA-N,Carmofur,0,4,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
NEZONWMXZKDMKF-UHFFFAOYSA-N,Shikonin,0,0,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
PMJIHLSCWIDGMD-UHFFFAOYSA-N,Tideglusib,0,0,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
BPBPYQWMFCTCNG-UHFFFAOYSA-N,PX-12,0,0,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
JDSJDASOXWCHPN-UHFFFAOYSA-N,TDZD-8,0,1,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
PMATZTZNYRCHOR-UHFFFAOYSA-N,Cyclosporin A,0,0,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
RSUVYMGADVXGOU-BUHFOSPRSA-N,Cinanserin,0,3,Mpro (Viral Main proteinase) inhibitors found though VS + Enzimolgy tests ,https://www.jstage.jst.go.jp/article/ddt/14/1/14_2020.01012/_pdf/-char/en;;
DNVXATUJJDPFDM-KRWDZBQOSA-N,JQ1,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
NETXMUIMUZJUTB-UHFFFAOYSA-N,RVX-208,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
MUOKSQABCJCOPU-UHFFFAOYSA-N,Silmitasertib,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
PHAOTASRLQMKBE-UHFFFAOYSA-N,TMCB,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
JWOGUUIOCYMBPV-LQJYRIKDSA-N,Apicidin,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
NIJJYAXOARWZEE-UHFFFAOYSA-N,Valproic Acid,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
XDHNQDDQEHDUTM-UHFFFAOYSA-N,Bafilomycin A1,0,2,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
DGPGXHRHNRYVDH-UHFFFAOYSA-N,E-52862,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
FOQRKFCLRMMKAT-UHFFFAOYSA-N,PD-144418,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
BDSYECBSUUOPCT-UHFFFAOYSA-N,RS-PPC,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
PHRCDWVPTULQMT-UHFFFAOYSA-N,PB28,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
LNEPOXFFQSENCJ-UHFFFAOYSA-N,Haloperidol ,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
JRURYQJSLYLRLN-BJMVGYQFSA-N,Entacapone,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
CGIGDMFJXJATDK-UHFFFAOYSA-N,Indomethacin ,0,5,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
XZWYZXLIPXDOLR-UHFFFAOYSA-N,Metformin,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
PHXJVRSECIGDHY-UHFFFAOYSA-N,Ponatinib ,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
ZKZXNDJNWUTGDK-NSCUHMNNSA-N,H-89,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
JBPUGFODGPKTDW-SFHVURJKSA-N,Merimepodib,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
LXBIFEVIBLOUGU-DPYQTVNSSA-N,Migalastat,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
HPNSFSBZBAHARI-RUDMXATFSA-N,Mycophenolic acid,0,5,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
JJWLXRKVUJDJKG-VIFPVBQESA-N,XL413,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
BMGQWWVMWDBQGC-IIFHNQTCSA-N,Midostaurin,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
HFNKQEVNSGCOJV-OAHLLOKOSA-N,Ruxolitinib,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
UCUHFWIFSHROPY-RWPZCVJISA-N,AC-55541,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
STQGQHZAVUOBTE-VGBVRHCVSA-N,Daunorubicin,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
SGTNSNPWRIOYBX-UHFFFAOYSA-N,S-verapamil,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
GCWIQUVXWZWCLE-INIZCTEOSA-N,CPI-0610,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
GYLDXIAOMVERTK-UHFFFAOYSA-N,Sapanisertib,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
BFSMGDJOXZAERB-UHFFFAOYSA-N,Dabrafenib,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
ONJZYZYZIKTIEG-CFBQITSMSA-N,Sanglifehrin A,0,5,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
QJJXYPPXXYFBGM-LFZNUXCKSA-N,FK-506,0,5,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
MPUQHZXIXSTTDU-QXGSTGNESA-N,Pevonedistat,0,1,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
WOBPZFKXPCYOLU-YBFXNURJSA-N,4E2RCat,0,4,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;https://www.ncbi.nlm.nih.gov/pubmed/?term=Blocking+eIF4E%3AeIF4G+interaction+as+a+strategy+to+impair+coronavirus+replication;
FAKRSMQSSFJEIM-RQJHMYQMSA-N,Captopril,0,2,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
RLAWWYSOJDYHDC-BZSNNMDCSA-N,Lisinopril,0,2,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
WIIZWVCIJKGZOK-RKDXNWHRSA-N,Chloramphenicol,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
CGZOGNUFXMNYEI-UDUHKTKDSA-N,Tigecycline,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
TYZROVQLWOKYKF-ZDUSSCGKSA-N,Linezolid,0,0,Drugs from Sars-Cov-2-Human PPI map,https://www.biorxiv.org/content/10.1101/2020.03.22.002386v1.full.pdf;;
